Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, Net Income to Stockholder's Equity, Current Ratio, Quick Ratio, Debt ratio %, Interest Coverage Ratio (Interest expense to EBIT)
1,0.370594257300249,0.424389446140427,0.82789021403512,0.0022589633105668,0.0012077550852353,0.207576261450555,0.564050112276341
1,0.464290937454297,0.53821412996075,0.839969268005573,0.0060162058776727,0.0040393668269104,0.171176346101521,0.570174946412453
1,0.426071271876371,0.499018752725687,0.836774308550174,0.0115425536893801,0.0053475602224365,0.207515796474892,0.563706076496047
1,0.399844001364988,0.451264718709115,0.834697106753341,0.004194058676884,0.0028964911470803,0.151464764035432,0.564663420271241
1,0.465022181055916,0.538432184910597,0.839972745788203,0.0060224461078124,0.0037274466086162,0.106509054630105,0.575616645216918
1,0.388680349046946,0.415176624509376,0.829938957445841,0.0027400850543368,0.0008546613981262,0.180427487377936,0.56453833936354
0,0.390922829425243,0.445704317488007,0.829979763773696,0.004672060305584,0.0028690421678704,0.216101823019016,0.564200119780965
0,0.508360551845171,0.570922372437854,0.841459439726482,0.0096573801641804,0.0073045476720146,0.108202073948665,0.566088941755739
0,0.48851947545459,0.545137374618404,0.840486633095349,0.0134988658381721,0.0118230239542251,0.058590561417299,0.565591901310376
0,0.495685662750451,0.550915830789359,0.840688177069564,0.0114745351808575,0.0075166534204547,0.121292741179672,0.566667622359207
0,0.482474528347877,0.56754252071522,0.841337129150271,0.0060973288694887,0.0034492137738977,0.103576503310457,0.565891530490222
0,0.444401111490274,0.549716528565198,0.840649731622796,0.0086289902371599,0.0051229776652646,0.0943858270097046,0.566982649156004
0,0.491151952420416,0.551569995638901,0.840702415877267,0.0066308685464319,0.004029385379925,0.144662454273362,0.567146326659175
0,0.474040852142544,0.533307893589185,0.839910496767797,0.0101004365040983,0.0064467670717054,0.106569519605768,0.577445287454369
0,0.506703066348169,0.57582860880942,0.841623679912454,0.0188592235281637,0.01202327673437,0.0896393264201711,0.565614320447007
0,0.513820504070589,0.57108591365024,0.841399049949549,0.0113310098876447,0.0070631214230549,0.0990718626235753,0.565618081410697
0,0.48890947204212,0.560237679895334,0.840888957443775,0.0062177653111846,0.004346296321712,0.0612812528342957,0.565999165334269
0,0.535952810412909,0.590438290449193,0.841983321753659,0.016156579854665,0.0073831515670247,0.0787253983130272,0.565659317841955
0,0.504070589382343,0.559801569995639,0.840954675675957,0.0072199462716185,0.0041722448399038,0.141336880611906,0.567398597856035
0,0.487398235265441,0.543720017444396,0.840455976086351,0.0133584606600291,0.0082003825389557,0.0774858663119388,0.56572207807259
0,0.485253254034027,0.545573484518099,0.840638613018106,0.0267194174121142,0.0228525228731096,0.0963509387187471,0.565170865120315
0,0.504558085116755,0.564489751417357,0.841311469523341,0.0157590771947669,0.0129315884100428,0.100734649454304,0.565589111140646
0,0.512016769853264,0.563672045355429,0.841234473750761,0.0071625361543333,0.0050506121746204,0.146506636031079,0.567289099516091
0,0.49485692000195,0.548135630178805,0.840325896066444,0.0051662865326473,0.0045633927936448,0.19303443480364,0.568730145641783
0,0.509969287768732,0.561382468382032,0.84104674505462,0.0057160508079538,0.0042708116288848,0.19451582670738,0.568042939905936
0,0.444986106371569,0.503652420409943,0.837925614007031,0.006329465430685,0.0043481678430217,0.14674849593373,0.562377109788118
0,0.519280456296007,0.563617531617968,0.841187894768005,0.0055637891925454,0.0046288960394866,0.092057925446685,0.565722915029787
0,0.547408960171598,0.593054949847362,0.841854181631694,0.0218807429618004,0.012717611140293,0.0360975904707198,0.565433398847167
0,0.500853117535222,0.563944614042739,0.8411159928915,0.0155999513262049,0.0078934530441541,0.0895788614445083,0.56620058032495
1,0.41612635889436,0.470235499345835,0.831976032408709,0.0042920302900771,0.0019339053534243,0.219608791607461,0.562976864746142
1,0.462194705796324,0.536033580462276,0.838258501827446,0.0021235503165356,0.0013886688118459,0.228890165371708,0.576472530618164
0,0.476088334227076,0.544483209768862,0.840052354819015,0.0033584918611798,0.0024735273310733,0.208241376182846,0.570161348590322
0,0.505874323599668,0.570704317488007,0.841431597677494,0.0087007528837663,0.0066925602037213,0.116848565468452,0.566350913061826
0,0.486374494223176,0.544755778456171,0.840451101401298,0.0113859239128739,0.0096801320545436,0.0623393899083955,0.566000432230916
0,0.494369424267538,0.550915830789359,0.840608631798272,0.0108211830852322,0.0070949372853209,0.124104362547994,0.567456110265631
0,0.475162092331692,0.564544265154819,0.841252149001051,0.0066221322242364,0.0041298236902158,0.122622970644254,0.566339247732498
0,0.462925949397943,0.516354121238552,0.839028885008747,0.0060998249615445,0.0034616905826295,0.139281071439369,0.562016229466371
0,0.478915809486667,0.541321412996075,0.840205745904451,0.0094932621115066,0.0057655333149508,0.147201983251202,0.568218589402543
0,0.481060790718081,0.539467945922372,0.840192796047555,0.0191656188280224,0.0115135990976772,0.0953834991081416,0.568609255748077
0,0.486228245502852,0.548026602703881,0.840385757478808,0.0168698381596313,0.0120837892567191,0.0800858602654412,0.568500549655657
0,0.507824306537318,0.571631051024858,0.841573616502083,0.0084817208058633,0.005322606604973,0.118874142153158,0.565658865268012
0,0.489153219909326,0.562690798081116,0.840978536246519,0.0053977990708297,0.003651961915789,0.0690207697191402,0.5660450790583
0,0.511188027104763,0.566888355865678,0.841197466664069,0.0116854549595789,0.0055652805348059,0.0866463101248602,0.565941458314401
